siteid,cluster_id,load_zone,land_class,slope_class,nsrdb_id,nsrdb_lat,nsrdb_lon,solar_lat,solar_lon,solar_area
1,1,Oahu,B,00_to_15,89,21.45,-158.18,21.4604972982943,-158.167845626917,102187.158294096
2,1,Oahu,B,00_to_15,90,21.45,-158.14,21.4669173728814,-158.159625313895,23408.6460434
3,1,Oahu,C,00_to_15,89,21.45,-158.18,21.4560311628832,-158.180909612012,320128.258190168
4,1,Oahu,other,00_to_15,88,21.45,-158.22,21.4650234814549,-158.203884555918,546602.734416874
5,1,Oahu,other,00_to_15,89,21.45,-158.18,21.4587734564468,-158.177014195935,3408669.89684335
6,1,Oahu,other,00_to_15,90,21.45,-158.14,21.4653947311831,-158.155546129054,381067.303142847
7,1,Oahu,other,00_to_15,105,21.49,-158.22,21.4932286259812,-158.221217500988,1337142.46872075
8,1,Oahu,other,00_to_15,106,21.49,-158.18,21.4763227063315,-158.172434927253,303670.69244301
9,1,Oahu,other,00_to_15,107,21.49,-158.14,21.4735073894464,-158.155718642981,567986.395188736
10,1,Oahu,other,00_to_15,122,21.53,-158.22,21.5122343068608,-158.225228963221,296566.437744864
11,2,Oahu,B,00_to_15,72,21.41,-158.18,21.4183780774314,-158.167793683379,50833.7897144434
12,2,Oahu,B,00_to_15,73,21.41,-158.14,21.410071787951,-158.147511566062,157511.20421565
13,2,Oahu,B,00_to_15,89,21.45,-158.18,21.4415708860058,-158.161790516211,131385.412180918
14,2,Oahu,B,00_to_15,90,21.45,-158.14,21.4467642305169,-158.152579769727,998324.524584555
15,2,Oahu,other,00_to_15,56,21.37,-158.14,21.3890776008777,-158.147412053855,81339.917381327
16,2,Oahu,other,00_to_15,72,21.41,-158.18,21.4165840329006,-158.166509809242,1730044.98926115
17,2,Oahu,other,00_to_15,73,21.41,-158.14,21.4047244838538,-158.148014227165,2515924.64498756
18,2,Oahu,other,00_to_15,89,21.45,-158.18,21.4401927752188,-158.166251591488,611837.594007654
19,2,Oahu,other,00_to_15,90,21.45,-158.14,21.4496310151448,-158.154195676355,634643.942036534
20,3,Oahu,other,00_to_15,39,21.33,-158.14,21.3465802766126,-158.125422834963,132994.397001005
21,3,Oahu,other,00_to_15,40,21.33,-158.1,21.3393643425305,-158.112028896374,73364.4979406658
22,3,Oahu,other,00_to_15,56,21.37,-158.14,21.3784069769176,-158.133012966969,366345.809128216
